"","Genus","Species","Subspecies","Author","Year"
"1","Papilio","curius","NA","Fabricius","1787"
"2","Leptocircus","curius","tutationis","Fruhstorfer","1909"
"3","Leptocircus","curius","magistralis","Fruhstorfer","1909"
"4","Leptocircus","curius","libelluloides","Fruhstorfer","1898"
"5","Leptocircus","walkeri","NA","Moore","1902"
"6","Papilio","meges","NA","Zinken","1831"
"7","Leptocircus","meges","squamosus","van Eecke","1913"
"8","Leptocircus","ennius","NA","C. & R. Felder","1865"
"9","meges","akirai","NA","Tsukada & Nishiyama","1980"
"10","Leptocircus","virescens","NA","Butler","1870"
"11","Leptocircus","meges","annamiticus","Fruhstorfer","1909"
"12","Leptocircus","meges","pallidus","Fruhstorfer","1909"
"13","Leptocircus","meges","niasicus","Fruhstorfer","1909"
"14","Leptocircus","decius","NA","C. & R. Felder","1862"
"15","Leptocircus","wilsonii","NA","Reakirt","1865"
"16","Lamproptera","meges","pessimus","Fruhstorfer","1909"
"17","Lamproptera","amplifascia","NA","Tytler","1939"
