"","x"
"1","Papilio machaon "
"2","Papilio machaon muetingi"
"3","Papilio machaon syriacus"
"4","Papilio saharae "
"5","Papilio saharae saharae"
"6","Papilio saharae rathjensi"
"7","Papilio antimachus "
"8","Papilio antimachus antimachus"
"9","Papilio antimachus parva"
"10","Papilio zalmoxis "
"11","Papilio nireus "
"12","Papilio nireus nireus"
"13","Papilio nireus lyaeus"
"14","Papilio nireus pseudonireus"
"15","Papilio aristophontes "
"16","Papilio charopus "
"17","Papilio charopus charopus"
"18","Papilio charopus montuosus"
"19","Papilio chrapkowskoides "
"20","Papilio chrapkowskoides chrapkowskoides"
"21","Papilio chrapkowskoides nurettini"
"22","Papilio desmondi "
"23","Papilio desmondi desmondi"
"24","Papilio desmondi magdae"
"25","Papilio desmondi teita"
"26","Papilio desmondi usambaraensis"
"27","Papilio hornimani "
"28","Papilio hornimani hornimani"
"29","Papilio hornimani mbulu"
"30","Papilio hornimani mwanihanae"
"31","Papilio interjectana "
"32","Papilio nerminae "
"33","Papilio sosia "
"34","Papilio sosia sosia"
"35","Papilio sosia debilis"
"36","Papilio sosia pulchra"
"37","Papilio thuraui "
"38","Papilio thuraui thuraui"
"39","Papilio thuraui cyclopis"
"40","Papilio thuraui heathi"
"41","Papilio thuraui ngorongoro"
"42","Papilio thuraui occidua"
"43","Papilio thuraui viphya"
"44","Papilio ufipa "
"45","Papilio wilsoni "
"46","Papilio cynorta "
"47","Papilio arnoldiana "
"48","Papilio plagiatus "
"49","Papilio dardanus "
"50","Papilio dardanus dardanus"
"51","Papilio dardanus antinorii"
"52","Papilio dardanus byatti"
"53","Papilio dardanus cenea"
"54","Papilio dardanus figinii"
"55","Papilio dardanus flavicornis"
"56","Papilio dardanus humbloti"
"57","Papilio dardanus meriones"
"58","Papilio dardanus meseres"
"59","Papilio dardanus ochraceana"
"60","Papilio dardanus polytrophus"
"61","Papilio dardanus sulfurea"
"62","Papilio dardanus tibullus"
"63","Papilio constantinus "
"64","Papilio constantinus constantinus"
"65","Papilio constantinus lecerfi"
"66","Papilio constantinus mweruanus"
"67","Papilio delalandei "
"68","Papilio phorcas "
"69","Papilio phorcas phorcas"
"70","Papilio phorcas ansorgei"
"71","Papilio phorcas bardamu"
"72","Papilio phorcas congoanus"
"73","Papilio phorcas nyikanus"
"74","Papilio phorcas ruscoei"
"75","Papilio phorcas sudanicola"
"76","Papilio phorcas tenuifasciatus"
"77","Papilio rex "
"78","Papilio rex rex"
"79","Papilio rex abyssinicana"
"80","Papilio rex alinderi"
"81","Papilio rex franciscae"
"82","Papilio rex mimeticus"
"83","Papilio rex regulana"
"84","Papilio rex schultzei"
"85","Papilio zenobia "
"86","Papilio cyproeofila "
"87","Papilio cyproeofila cyproeofila"
"88","Papilio cyproeofila praecyola"
"89","Papilio fernandus "
"90","Papilio filaprae "
"91","Papilio filaprae filaprae"
"92","Papilio filaprae musolanus"
"93","Papilio gallienus "
"94","Papilio mechowi "
"95","Papilio mechowi mechowi"
"96","Papilio mechowi whitnalli"
"97","Papilio mechowianus "
"98","Papilio nobicea "
"99","Papilio demodocus "
"100","Papilio demodocus demodocus"
"101","Papilio demodocus bennetti"
"102","Papilio demoleus "
"103","Papilio erithonioides "
"104","Papilio grosesmithi "
"105","Papilio morondavana "
"106","Papilio echerioides "
"107","Papilio echerioides echerioides"
"108","Papilio echerioides ambangulu"
"109","Papilio echerioides chirindanus"
"110","Papilio echerioides homeyeri"
"111","Papilio echerioides joiceyi"
"112","Papilio echerioides kiellandi"
"113","Papilio echerioides leucospilus"
"114","Papilio echerioides nioka"
"115","Papilio echerioides nyiro"
"116","Papilio echerioides oscari"
"117","Papilio echerioides pseudowertheri"
"118","Papilio echerioides shirensis"
"119","Papilio echerioides wertheri"
"120","Papilio echerioides zoroastres"
"121","Papilio fuelleborni "
"122","Papilio fuelleborni fuelleborni"
"123","Papilio fuelleborni neocesa"
"124","Papilio fuelleborni rydoni"
"125","Papilio fuelleborni sjoestedti"
"126","Papilio jacksoni "
"127","Papilio jacksoni jacksoni"
"128","Papilio jacksoni hecqui"
"129","Papilio jacksoni imatonga"
"130","Papilio jacksoni kungwe"
"131","Papilio jacksoni nyika"
"132","Papilio jacksoni ruandana"
"133","Papilio oribazus "
"134","Papilio epiphorbas "
"135","Papilio epiphorbas epiphorbas"
"136","Papilio epiphorbas guyonnaudi"
"137","Papilio epiphorbas praedicta"
"138","Papilio nobilis "
"139","Papilio nobilis nobilis"
"140","Papilio nobilis crippsianus"
"141","Papilio nobilis didingensis"
"142","Papilio nobilis mpanda"
"143","Papilio hesperus "
"144","Papilio hesperus hesperus"
"145","Papilio hesperus feae"
"146","Papilio hesperus sudana"
"147","Papilio euphranor "
"148","Papilio horribilis "
"149","Papilio pelodurus "
"150","Papilio pelodurus pelodurus"
"151","Papilio pelodurus vesper"
"152","Papilio menestheus "
"153","Papilio menestheus menestheus"
"154","Papilio menestheus canui"
"155","Papilio lormieri "
"156","Papilio lormieri lormieri"
"157","Papilio lormieri neocrocea"
"158","Papilio lormieri semlikana"
"159","Papilio ophidicephalus "
"160","Papilio ophidicephalus ophidicephalus"
"161","Papilio ophidicephalus ayresi"
"162","Papilio ophidicephalus chirinda"
"163","Papilio ophidicephalus cottrelli"
"164","Papilio ophidicephalus entabeni"
"165","Papilio ophidicephalus mkuwadzi"
"166","Papilio ophidicephalus niassicola"
"167","Papilio ophidicephalus phalusco"
"168","Papilio ophidicephalus transvaalensis"
"169","Papilio ophidicephalus zuluensis"
"170","Papilio andronicus "
"171","Papilio chitondensis "
"172","Papilio leucotaenia "
"173","Papilio mackinnoni "
"174","Papilio mackinnoni mackinnoni"
"175","Papilio mackinnoni benguellae"
"176","Papilio mackinnoni isokae"
"177","Papilio mackinnoni mpwapwana"
"178","Papilio mackinnoni reductofascia"
"179","Papilio mackinnoni theodori"
"180","Papilio mangoura "
