"","x"
"1","Lamproptera"
"2","Papilio curius"
"3","Leptocircus curius tutationis"
"4","Leptocircus curius libelluloides"
"5","Leptocircus walkeri"
"6","Papilio meges"
"7","Leptocircus ennius"
"8","meges akirai"
"9","Leptocircus virescens"
"10","Leptocircus meges annamiticus"
"11","Leptocircus meges pallidus"
"12","Leptocircus meges niasicus"
"13","Leptocircus decius"
"14","Lamproptera meges decius"
"15","Lamproptera meges pessimus"
"16","Lamproptera amplifascia"
"17","Leptocircus curtius"
